"","Location","SKU","OfferTermCode","RateCode","TermType","PriceDescription","EffectiveDate","StartingRange","EndingRange","Unit","PricePerUnit","Currency","RelatedTo","LeaseContractLength","PurchaseOption","OfferingClass","Product.Family","serviceCode","Location.Type","Instance.Type","Current.Generation","Instance.Family","vCPU","Memory","Network.Performance","Cache.Engine","Storage.Media","Group","Group.Description","usageType","operation","Region","Endpoint","Protocol"
"1229","US West (N. California)","H5GD5BUYNFA9PDC7","YTVHEVGPBZ","H5GD5BUYNFA9PDC7.YTVHEVGPBZ.2TG2D8R56U","Reserved","Upfront Fee","2015-10-31",NA,NA,"Quantity",68,"USD","","1yr","Heavy Utilization","standard","Cache Instance","AmazonElastiCache","AWS Region","cache.t2.micro","Yes","Standard",1,"0.555 GiB","Low to Moderate","Redis","","","","USW1-NodeUsage:cache.t2.micro","CreateCacheCluster:0002","us-west-1","ec2.us-west-1.amazonaws.com","HTTP and HTTPS"
"1230","US West (N. California)","XG422YU8JBX7GRQJ","YTVHEVGPBZ","XG422YU8JBX7GRQJ.YTVHEVGPBZ.2TG2D8R56U","Reserved","Upfront Fee","2015-10-31",NA,NA,"Quantity",272,"USD","","1yr","Heavy Utilization","standard","Cache Instance","AmazonElastiCache","AWS Region","cache.t2.medium","Yes","Standard",2,"3.22 GiB","Low to Moderate","Memcached","","","","USW1-NodeUsage:cache.t2.medium","CreateCacheCluster:0001","us-west-1","ec2.us-west-1.amazonaws.com","HTTP and HTTPS"
"1231","US West (N. California)","785VZ3JK4W6X4HH7","YTVHEVGPBZ","785VZ3JK4W6X4HH7.YTVHEVGPBZ.6YS6EN2CT7","Reserved","ElastiCache, cache.m4.4xlarge instance-hours used this month","2016-09-30",0,Inf,"Hrs",0.621,"USD","","1yr","Heavy Utilization","standard","Cache Instance","AmazonElastiCache","AWS Region","cache.m4.4xlarge","Yes","Standard",16,"60.78 GiB","High","Memcached","","","","USW1-NodeUsage:cache.m4.4xlarge","CreateCacheCluster:0001","us-west-1","ec2.us-west-1.amazonaws.com","HTTP and HTTPS"
"1232","US West (N. California)","HTKFBKAAWMVYKFE8","DK9W8XRWES","HTKFBKAAWMVYKFE8.DK9W8XRWES.6YS6EN2CT7","Reserved","USD 0.017 per Redis, cache.t1.micro instance-hour (or partial hour)","2015-11-30",0,Inf,"Hrs",0.017,"USD","","1yr","Light Utilization","standard","Cache Instance","AmazonElastiCache","AWS Region","cache.t1.micro","No","Micro",1,"0.213 GiB","Very Low","Redis","","","","USW1-NodeUsage:cache.t1.micro","CreateCacheCluster:0002","us-west-1","ec2.us-west-1.amazonaws.com","HTTP and HTTPS"
"1233","US West (N. California)","NEPSYWTNMB6466UW","YTVHEVGPBZ","NEPSYWTNMB6466UW.YTVHEVGPBZ.6YS6EN2CT7","Reserved","ElastiCache, cache.r3.4xlarge instance-hours used this month","2015-10-31",0,Inf,"Hrs",0.638,"USD","","1yr","Heavy Utilization","standard","Cache Instance","AmazonElastiCache","AWS Region","cache.r3.4xlarge","Yes","Memory optimized",16,"118 GiB","High","Memcached","","","","USW1-NodeUsage:cache.r3.4xlarge","CreateCacheCluster:0001","us-west-1","ec2.us-west-1.amazonaws.com","HTTP and HTTPS"
"1234","US West (N. California)","V4PPEJJ2929FEHPN","JRBFQ5DASS","V4PPEJJ2929FEHPN.JRBFQ5DASS.6YS6EN2CT7","Reserved","USD 0.058 per ElastiCache, cache.m1.medium instance-hour (or partial hour)","2015-11-30",0,Inf,"Hrs",0.058,"USD","","1yr","Medium Utilization","standard","Cache Instance","AmazonElastiCache","AWS Region","cache.m1.medium","No","Standard",1,"3.35 GiB","Moderate","Memcached","","","","USW1-NodeUsage:cache.m1.medium","CreateCacheCluster:0001","us-west-1","ec2.us-west-1.amazonaws.com","HTTP and HTTPS"
"1235","US West (N. California)","QJ5HAKG9GST4P5AF","YTVHEVGPBZ","QJ5HAKG9GST4P5AF.YTVHEVGPBZ.6YS6EN2CT7","Reserved","ElastiCache, cache.m1.large instance-hours used this month","2015-10-31",0,Inf,"Hrs",0.099,"USD","","1yr","Heavy Utilization","standard","Cache Instance","AmazonElastiCache","AWS Region","cache.m1.large","No","Standard",2,"7.1 GiB","Moderate","Memcached","","","","USW1-NodeUsage:cache.m1.large","CreateCacheCluster:0001","us-west-1","ec2.us-west-1.amazonaws.com","HTTP and HTTPS"
"1236","US West (N. California)","J2SFKQUNGE6XJY54","YTVHEVGPBZ","J2SFKQUNGE6XJY54.YTVHEVGPBZ.6YS6EN2CT7","Reserved","Redis, cache.m4.large instance-hours used this month","2016-07-31",0,Inf,"Hrs",0.077,"USD","","1yr","Heavy Utilization","standard","Cache Instance","AmazonElastiCache","AWS Region","cache.m4.large","Yes","Standard",2,"6.42 GiB","Moderate","Redis","","","","USW1-NodeUsage:cache.m4.large","CreateCacheCluster:0002","us-west-1","ec2.us-west-1.amazonaws.com","HTTP and HTTPS"
"1237","US West (N. California)","WFA4VYWET8NE6NNX","YTVHEVGPBZ","WFA4VYWET8NE6NNX.YTVHEVGPBZ.2TG2D8R56U","Reserved","Upfront Fee","2015-10-31",NA,NA,"Quantity",473,"USD","","1yr","Heavy Utilization","standard","Cache Instance","AmazonElastiCache","AWS Region","cache.m2.xlarge","No","Memory optimized",2,"16.7 GiB","Moderate","Redis","","","","USW1-NodeUsage:cache.m2.xlarge","CreateCacheCluster:0002","us-west-1","ec2.us-west-1.amazonaws.com","HTTP and HTTPS"
"1238","US West (N. California)","GFYRTPJMDRZ24ZP2","YTVHEVGPBZ","GFYRTPJMDRZ24ZP2.YTVHEVGPBZ.6YS6EN2CT7","Reserved","ElastiCache, cache.m4.10xlarge instance-hours used this month","2016-09-30",0,Inf,"Hrs",1.55,"USD","","1yr","Heavy Utilization","standard","Cache Instance","AmazonElastiCache","AWS Region","cache.m4.10xlarge","Yes","Standard",40,"154.64 GiB","10 Gigabit","Memcached","","","","USW1-NodeUsage:cache.m4.10xlarge","CreateCacheCluster:0001","us-west-1","ec2.us-west-1.amazonaws.com","HTTP and HTTPS"
