"SKU","OfferTermCode","RateCode","TermType","PriceDescription","EffectiveDate","StartingRange","EndingRange","Unit","PricePerUnit","Currency","RelatedTo","LeaseContractLength","PurchaseOption","OfferingClass","Product Family","serviceCode","Location","Location Type","Instance Type","Current Generation","Instance Family","vCPU","Memory","Network Performance","Cache Engine","Storage Media","Group","Group Description","usageType","operation"
"DA9T42WCFEN5VZ35","VG8YD49WWM","DA9T42WCFEN5VZ35.VG8YD49WWM.2TG2D8R56U","Reserved","Upfront Fee","2015-10-31",,,"Quantity","21320","USD",,"3yr","Heavy Utilization","standard","Cache Instance","AmazonElastiCache","EU (Ireland)","AWS Region","cache.r3.8xlarge","Yes","Memory optimized","32","237 GiB","10 Gigabit","Redis",,,,"EU-NodeUsage:cache.r3.8xlarge","CreateCacheCluster:0002"
"TATQD4XG4JDP5SDA","VG8YD49WWM","TATQD4XG4JDP5SDA.VG8YD49WWM.2TG2D8R56U","Reserved","Upfront Fee","2016-09-30",,,"Quantity","132","USD",,"3yr","Heavy Utilization","standard","Cache Instance","AmazonElastiCache","Asia Pacific (Seoul)","AWS Region","cache.t2.micro","Yes","Standard","1","0.555 GiB","Low to Moderate","Memcached",,,,"APN2-NodeUsage:cache.t2.micro","CreateCacheCluster:0001"
"PM3YQB4W82QA24FC","JRTCKXETXF","PM3YQB4W82QA24FC.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.94 per  Enhanced Double Extra Large Cache node-hour (or partial hour) running Redis","2016-11-01","0","Inf","Hrs","0.9400000000","USD",,,,,"Cache Instance","AmazonElastiCache","South America (Sao Paulo)","AWS Region","cache.m3.2xlarge","Yes","Standard","8","27.9 GiB","High","Redis",,,,"SAE1-NodeUsage:cache.m3.2xlarge","CreateCacheCluster:0002"
"BU4HUGWKRAMU47RF","YTVHEVGPBZ","BU4HUGWKRAMU47RF.YTVHEVGPBZ.2TG2D8R56U","Reserved","Upfront Fee","2016-09-30",,,"Quantity","7990","USD",,"1yr","Heavy Utilization","standard","Cache Instance","AmazonElastiCache","South America (Sao Paulo)","AWS Region","cache.r3.4xlarge","Yes","Memory optimized","16","118 GiB","High","Memcached",,,,"SAE1-NodeUsage:cache.r3.4xlarge","CreateCacheCluster:0001"
"BQ65NWFSUFVTM9V6","VG8YD49WWM","BQ65NWFSUFVTM9V6.VG8YD49WWM.6YS6EN2CT7","Reserved","ElastiCache, cache.t1.micro instance-hours used this month","2015-10-31","0","Inf","Hrs","0.0060000000","USD",,"3yr","Heavy Utilization","standard","Cache Instance","AmazonElastiCache","US East (N. Virginia)","AWS Region","cache.t1.micro","No","Micro","1","0.213 GiB","Very Low","Memcached",,,,"NodeUsage:cache.t1.micro","CreateCacheCluster:0001"
"5CGQP33A2PTPJST8","JRTCKXETXF","5CGQP33A2PTPJST8.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.453 per  Extra Large Cache node-hour (or partial hour) running Redis","2016-11-01","0","Inf","Hrs","0.4530000000","USD",,,,,"Cache Instance","AmazonElastiCache","US West (Oregon)","AWS Region","cache.m1.xlarge","No","Standard","4","14.6 GiB","High","Redis",,,,"USW2-NodeUsage:cache.m1.xlarge","CreateCacheCluster:0002"
"TEKCZZ47V9EVMKS8","JRBFQ5DASS","TEKCZZ47V9EVMKS8.JRBFQ5DASS.6YS6EN2CT7","Reserved","USD 0.365 per ElastiCache, cache.c1.xlarge instance-hour (or partial hour)","2015-11-30","0","Inf","Hrs","0.3650000000","USD",,"1yr","Medium Utilization","standard","Cache Instance","AmazonElastiCache","Asia Pacific (Tokyo)","AWS Region","cache.c1.xlarge","No","Compute optimized","8","6.6 GiB","High","Memcached",,,,"APN1-NodeUsage:cache.c1.xlarge","CreateCacheCluster:0001"
"NCGVSJE8RTX2BYU5","YTVHEVGPBZ","NCGVSJE8RTX2BYU5.YTVHEVGPBZ.6YS6EN2CT7","Reserved","ElastiCache, cache.m1.small instance-hours used this month","2015-10-31","0","Inf","Hrs","0.0200000000","USD",,"1yr","Heavy Utilization","standard","Cache Instance","AmazonElastiCache","South America (Sao Paulo)","AWS Region","cache.m1.small","No","Standard","1","1.3 GiB","Low","Memcached",,,,"SAE1-NodeUsage:cache.m1.small","CreateCacheCluster:0001"
"DMVMKEX89ARXXPKX","VG8YD49WWM","DMVMKEX89ARXXPKX.VG8YD49WWM.6YS6EN2CT7","Reserved","Redis, cache.t2.micro instance-hours used this month","2015-10-31","0","Inf","Hrs","0.0070000000","USD",,"3yr","Heavy Utilization","standard","Cache Instance","AmazonElastiCache","South America (Sao Paulo)","AWS Region","cache.t2.micro","Yes","Standard","1","0.555 GiB","Low to Moderate","Redis",,,,"SAE1-NodeUsage:cache.t2.micro","CreateCacheCluster:0002"
"BWBJAC8H45JBERA8","DK9W8XRWES","BWBJAC8H45JBERA8.DK9W8XRWES.2TG2D8R56U","Reserved","Upfront Fee","2015-11-30",,,"Quantity","388","USD",,"1yr","Light Utilization","standard","Cache Instance","AmazonElastiCache","Asia Pacific (Singapore)","AWS Region","cache.m1.xlarge","No","Standard","4","14.6 GiB","High","Redis",,,,"APS1-NodeUsage:cache.m1.xlarge","CreateCacheCluster:0002"
"RFX6CBUEKJK3YVAA","JRTCKXETXF","RFX6CBUEKJK3YVAA.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.342 per Gen Purpose M4.xlarge node hour running Memcached","2016-11-01","0","Inf","Hrs","0.3420000000","USD",,,,,"Cache Instance","AmazonElastiCache","Canada (Central)","AWS Region","cache.m4.xlarge","Yes","Standard","4","14.28 GiB","High","Memcached",,,,"CAN1-NodeUsage:cache.m4.xlarge","CreateCacheCluster:0001"
