"SKU","OfferTermCode","RateCode","TermType","PriceDescription","EffectiveDate","StartingRange","EndingRange","Unit","PricePerUnit","Currency","RelatedTo","LeaseContractLength","PurchaseOption","OfferingClass","Product Family","serviceCode","Location","Location Type","Instance Type","Current Generation","Instance Family","vCPU","Memory","Network Performance","Cache Engine","Storage Media","Group","Group Description","usageType","operation"
"37ATVE8PQAUQTCYZ","VG8YD49WWM","37ATVE8PQAUQTCYZ.VG8YD49WWM.2TG2D8R56U","Reserved","Upfront Fee","2016-09-30",,,"Quantity","9870","USD",,"3yr","Heavy Utilization","standard","Cache Instance","AmazonElastiCache","Asia Pacific (Seoul)","AWS Region","cache.r3.4xlarge","Yes","Memory optimized","16","118 GiB","High","Redis",,,,"APN2-NodeUsage:cache.r3.4xlarge","CreateCacheCluster:0002"
"BWBJAC8H45JBERA8","KGRZ3REEDN","BWBJAC8H45JBERA8.KGRZ3REEDN.6YS6EN2CT7","Reserved","USD 0.172 per Redis, cache.m1.xlarge instance-hour (or partial hour)","2015-11-30","0","Inf","Hrs","0.1720000000","USD",,"3yr","Medium Utilization","standard","Cache Instance","AmazonElastiCache","Asia Pacific (Singapore)","AWS Region","cache.m1.xlarge","No","Standard","4","14.6 GiB","High","Redis",,,,"APS1-NodeUsage:cache.m1.xlarge","CreateCacheCluster:0002"
"M7NFTB9Y2QASVSNQ","VG8YD49WWM","M7NFTB9Y2QASVSNQ.VG8YD49WWM.2TG2D8R56U","Reserved","Upfront Fee","2015-10-31",,,"Quantity","436","USD",,"3yr","Heavy Utilization","standard","Cache Instance","AmazonElastiCache","US West (Oregon)","AWS Region","cache.t2.medium","Yes","Standard","2","3.22 GiB","Low to Moderate","Memcached",,,,"USW2-NodeUsage:cache.t2.medium","CreateCacheCluster:0001"
"HBRQZSXXSY2DXJ77","YTVHEVGPBZ","HBRQZSXXSY2DXJ77.YTVHEVGPBZ.2TG2D8R56U","Reserved","Upfront Fee","2015-10-31",,,"Quantity","1948","USD",,"1yr","Heavy Utilization","standard","Cache Instance","AmazonElastiCache","Asia Pacific (Tokyo)","AWS Region","cache.m3.2xlarge","Yes","Standard","8","27.9 GiB","High","Memcached",,,,"APN1-NodeUsage:cache.m3.2xlarge","CreateCacheCluster:0001"
"WXKW7QBYRQUKBB5V","VG8YD49WWM","WXKW7QBYRQUKBB5V.VG8YD49WWM.2TG2D8R56U","Reserved","Upfront Fee","2015-10-31",,,"Quantity","2066","USD",,"3yr","Heavy Utilization","standard","Cache Instance","AmazonElastiCache","US East (N. Virginia)","AWS Region","cache.r3.xlarge","Yes","Memory optimized","4","28.4 GiB","Moderate","Redis",,,,"NodeUsage:cache.r3.xlarge","CreateCacheCluster:0002"
"YABJESQUEGAUDF78","DK9W8XRWES","YABJESQUEGAUDF78.DK9W8XRWES.6YS6EN2CT7","Reserved","USD 0.775 per Redis, cache.m2.4xlarge instance-hour (or partial hour)","2015-11-30","0","Inf","Hrs","0.7750000000","USD",,"1yr","Light Utilization","standard","Cache Instance","AmazonElastiCache","Asia Pacific (Tokyo)","AWS Region","cache.m2.4xlarge","No","Memory optimized","8","68 GiB","High","Redis",,,,"APN1-NodeUsage:cache.m2.4xlarge","CreateCacheCluster:0002"
"NDKE5VTSATWKXTBE","JRTCKXETXF","NDKE5VTSATWKXTBE.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.795 per  Enhanced Double Extra Large Cache node-hour (or partial hour) running Redis","2016-11-01","0","Inf","Hrs","0.7950000000","USD",,,,,"Cache Instance","AmazonElastiCache","US West (N. California)","AWS Region","cache.m3.2xlarge","Yes","Standard","8","27.9 GiB","High","Redis",,,,"USW1-NodeUsage:cache.m3.2xlarge","CreateCacheCluster:0002"
"MRPXXDKFV4HS6PKX","YTVHEVGPBZ","MRPXXDKFV4HS6PKX.YTVHEVGPBZ.2TG2D8R56U","Reserved","Upfront Fee","2015-10-31",,,"Quantity","2790","USD",,"1yr","Heavy Utilization","standard","Cache Instance","AmazonElastiCache","US West (N. California)","AWS Region","cache.r3.2xlarge","Yes","Memory optimized","8","58.2 GiB","High","Memcached",,,,"USW1-NodeUsage:cache.r3.2xlarge","CreateCacheCluster:0001"
"BZV2BAWWVD4VWJN3","VHSX6N8RTZ","BZV2BAWWVD4VWJN3.VHSX6N8RTZ.2TG2D8R56U","Reserved","Upfront Fee","2015-11-30",,,"Quantity","142","USD",,"3yr","Light Utilization","standard","Cache Instance","AmazonElastiCache","Asia Pacific (Singapore)","AWS Region","cache.m1.medium","No","Standard","1","3.35 GiB","Moderate","Redis",,,,"APS1-NodeUsage:cache.m1.medium","CreateCacheCluster:0002"
"CJKZ5DWGA6G46U2P","VG8YD49WWM","CJKZ5DWGA6G46U2P.VG8YD49WWM.2TG2D8R56U","Reserved","Upfront Fee","2016-09-30",,,"Quantity","1773","USD",,"3yr","Heavy Utilization","standard","Cache Instance","AmazonElastiCache","Asia Pacific (Tokyo)","AWS Region","cache.m4.xlarge","Yes","Standard","4","14.28 GiB","High","Redis",,,,"APN1-NodeUsage:cache.m4.xlarge","CreateCacheCluster:0002"
"YWQJS58KK9JWRBRM","YTVHEVGPBZ","YWQJS58KK9JWRBRM.YTVHEVGPBZ.6YS6EN2CT7","Reserved","ElastiCache, cache.m2.xlarge instance-hours used this month","2015-10-31","0","Inf","Hrs","0.0690000000","USD",,"1yr","Heavy Utilization","standard","Cache Instance","AmazonElastiCache","US East (N. Virginia)","AWS Region","cache.m2.xlarge","No","Memory optimized","2","16.7 GiB","Moderate","Memcached",,,,"NodeUsage:cache.m2.xlarge","CreateCacheCluster:0001"
"5R2X6S6W3E9QUXCA","JRTCKXETXF","5R2X6S6W3E9QUXCA.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.660 per  High Memory Double Extra Large Cache node-hour (or partial hour) running Memcached","2016-11-01","0","Inf","Hrs","0.6600000000","USD",,,,,"Cache Instance","AmazonElastiCache","Asia Pacific (Tokyo)","AWS Region","cache.m2.2xlarge","No","Memory optimized","4","33.8 GiB","Moderate","Memcached",,,,"APN1-NodeUsage:cache.m2.2xlarge","CreateCacheCluster:0001"
"SHSTRVMYNYEK33KZ","JRTCKXETXF","SHSTRVMYNYEK33KZ.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.858 per Gen Purpose M4.2xlarge node hour running Memcached","2016-11-01","0","Inf","Hrs","0.8580000000","USD",,,,,"Cache Instance","AmazonElastiCache","Asia Pacific (Seoul)","AWS Region","cache.m4.2xlarge","Yes","Standard","8","29.7 GiB","High","Memcached",,,,"APN2-NodeUsage:cache.m4.2xlarge","CreateCacheCluster:0001"
"4HE5JY4RNGR37SDY","YTVHEVGPBZ","4HE5JY4RNGR37SDY.YTVHEVGPBZ.6YS6EN2CT7","Reserved","ElastiCache, cache.m4.large instance-hours used this month","2016-09-30","0","Inf","Hrs","0.0800000000","USD",,"1yr","Heavy Utilization","standard","Cache Instance","AmazonElastiCache","Asia Pacific (Sydney)","AWS Region","cache.m4.large","Yes","Standard","2","6.42 GiB","Moderate","Memcached",,,,"APS2-NodeUsage:cache.m4.large","CreateCacheCluster:0001"
"FCKJ4RZ5F2AEKD49","VG8YD49WWM","FCKJ4RZ5F2AEKD49.VG8YD49WWM.2TG2D8R56U","Reserved","Upfront Fee","2015-10-31",,,"Quantity","1477","USD",,"3yr","Heavy Utilization","standard","Cache Instance","AmazonElastiCache","Asia Pacific (Singapore)","AWS Region","cache.m2.2xlarge","No","Memory optimized","4","33.8 GiB","Moderate","Redis",,,,"APS1-NodeUsage:cache.m2.2xlarge","CreateCacheCluster:0002"
"H4D8TNPY9RBMUZBC","YTVHEVGPBZ","H4D8TNPY9RBMUZBC.YTVHEVGPBZ.6YS6EN2CT7","Reserved","Redis, cache.r3.xlarge instance-hours used this month","2015-10-31","0","Inf","Hrs","0.1780000000","USD",,"1yr","Heavy Utilization","standard","Cache Instance","AmazonElastiCache","Asia Pacific (Singapore)","AWS Region","cache.r3.xlarge","Yes","Memory optimized","4","28.4 GiB","Moderate","Redis",,,,"APS1-NodeUsage:cache.r3.xlarge","CreateCacheCluster:0002"
"WFA4VYWET8NE6NNX","VG8YD49WWM","WFA4VYWET8NE6NNX.VG8YD49WWM.6YS6EN2CT7","Reserved","Redis, cache.m2.xlarge instance-hours used this month","2015-10-31","0","Inf","Hrs","0.0720000000","USD",,"3yr","Heavy Utilization","standard","Cache Instance","AmazonElastiCache","US West (N. California)","AWS Region","cache.m2.xlarge","No","Memory optimized","2","16.7 GiB","Moderate","Redis",,,,"USW1-NodeUsage:cache.m2.xlarge","CreateCacheCluster:0002"
"E96CASZEGHNTHT6X","VG8YD49WWM","E96CASZEGHNTHT6X.VG8YD49WWM.6YS6EN2CT7","Reserved","Redis, cache.r3.8xlarge instance-hours used this month","2016-09-30","0","Inf","Hrs","0.7290000000","USD",,"3yr","Heavy Utilization","standard","Cache Instance","AmazonElastiCache","US East (Ohio)","AWS Region","cache.r3.8xlarge","Yes","Memory optimized","32","237 GiB","10 Gigabit","Redis",,,,"USE2-NodeUsage:cache.r3.8xlarge","CreateCacheCluster:0002"
"V8XKNPHR234GEHBU","YTVHEVGPBZ","V8XKNPHR234GEHBU.YTVHEVGPBZ.2TG2D8R56U","Reserved","Upfront Fee","2015-10-31",,,"Quantity","270","USD",,"1yr","Heavy Utilization","standard","Cache Instance","AmazonElastiCache","Asia Pacific (Sydney)","AWS Region","cache.m1.medium","No","Standard","1","3.35 GiB","Moderate","Memcached",,,,"APS2-NodeUsage:cache.m1.medium","CreateCacheCluster:0001"
"6W3N3VANEDZ2NX8J","VG8YD49WWM","6W3N3VANEDZ2NX8J.VG8YD49WWM.6YS6EN2CT7","Reserved","Redis, cache.t2.micro instance-hours used this month","2015-12-31","0","Inf","Hrs","0.0050000000","USD",,"3yr","Heavy Utilization","standard","Cache Instance","AmazonElastiCache","EU (Frankfurt)","AWS Region","cache.t2.micro","Yes","Standard","1","0.555 GiB","Low to Moderate","Redis",,,,"EUC1-NodeUsage:cache.t2.micro","CreateCacheCluster:0002"
"VXA93FXYFQHRAFEX","YTVHEVGPBZ","VXA93FXYFQHRAFEX.YTVHEVGPBZ.6YS6EN2CT7","Reserved","Redis, cache.m3.large instance-hours used this month","2015-10-31","0","Inf","Hrs","0.0890000000","USD",,"1yr","Heavy Utilization","standard","Cache Instance","AmazonElastiCache","EU (Ireland)","AWS Region","cache.m3.large","Yes","Standard","2","6.05 GiB","Moderate","Redis",,,,"EU-NodeUsage:cache.m3.large","CreateCacheCluster:0002"
"8CF4S3X94NHDCTD5","VG8YD49WWM","8CF4S3X94NHDCTD5.VG8YD49WWM.6YS6EN2CT7","Reserved","ElastiCache, cache.t2.small instance-hours used this month","2016-11-30","0","Inf","Hrs","0.0090000000","USD",,"3yr","Heavy Utilization","standard","Cache Instance","AmazonElastiCache","Canada (Central)","AWS Region","cache.t2.small","Yes","Standard","1","1.55 GiB","Low to Moderate","Memcached",,,,"CAN1-NodeUsage:cache.t2.small","CreateCacheCluster:0001"
"HPNGZPPFM3X4CC9E","VG8YD49WWM","HPNGZPPFM3X4CC9E.VG8YD49WWM.2TG2D8R56U","Reserved","Upfront Fee","2015-10-31",,,"Quantity","1651","USD",,"3yr","Heavy Utilization","standard","Cache Instance","AmazonElastiCache","Asia Pacific (Tokyo)","AWS Region","cache.m1.xlarge","No","Standard","4","14.6 GiB","High","Memcached",,,,"APN1-NodeUsage:cache.m1.xlarge","CreateCacheCluster:0001"
"ZS57XFF22BGRKF2X","YTVHEVGPBZ","ZS57XFF22BGRKF2X.YTVHEVGPBZ.2TG2D8R56U","Reserved","Upfront Fee","2015-10-31",,,"Quantity","545","USD",,"1yr","Heavy Utilization","standard","Cache Instance","AmazonElastiCache","South America (Sao Paulo)","AWS Region","cache.m3.large","Yes","Standard","2","6.05 GiB","Moderate","Redis",,,,"SAE1-NodeUsage:cache.m3.large","CreateCacheCluster:0002"
"KRQHZ3VRXQ8RFY3U","YTVHEVGPBZ","KRQHZ3VRXQ8RFY3U.YTVHEVGPBZ.6YS6EN2CT7","Reserved","ElastiCache, cache.r3.xlarge instance-hours used this month","2015-10-31","0","Inf","Hrs","0.1600000000","USD",,"1yr","Heavy Utilization","standard","Cache Instance","AmazonElastiCache","US West (N. California)","AWS Region","cache.r3.xlarge","Yes","Memory optimized","4","28.4 GiB","Moderate","Memcached",,,,"USW1-NodeUsage:cache.r3.xlarge","CreateCacheCluster:0001"
"VE3YYDM39XFPTUZD","YTVHEVGPBZ","VE3YYDM39XFPTUZD.YTVHEVGPBZ.6YS6EN2CT7","Reserved","ElastiCache, cache.t2.medium instance-hours used this month","2015-10-31","0","Inf","Hrs","0.0230000000","USD",,"1yr","Heavy Utilization","standard","Cache Instance","AmazonElastiCache","US East (N. Virginia)","AWS Region","cache.t2.medium","Yes","Standard","2","3.22 GiB","Low to Moderate","Memcached",,,,"NodeUsage:cache.t2.medium","CreateCacheCluster:0001"
"EPP8FFPEJUN6N6E6","VHSX6N8RTZ","EPP8FFPEJUN6N6E6.VHSX6N8RTZ.2TG2D8R56U","Reserved","Upfront Fee","2015-11-30",,,"Quantity","73","USD",,"3yr","Light Utilization","standard","Cache Instance","AmazonElastiCache","Asia Pacific (Tokyo)","AWS Region","cache.m1.small","No","Standard","1","1.3 GiB","Low","Redis",,,,"APN1-NodeUsage:cache.m1.small","CreateCacheCluster:0002"
"FZWWP5KTN7HQC9AZ","VG8YD49WWM","FZWWP5KTN7HQC9AZ.VG8YD49WWM.6YS6EN2CT7","Reserved","Redis, cache.m1.medium instance-hours used this month","2015-10-31","0","Inf","Hrs","0.0340000000","USD",,"3yr","Heavy Utilization","standard","Cache Instance","AmazonElastiCache","Asia Pacific (Sydney)","AWS Region","cache.m1.medium","No","Standard","1","3.35 GiB","Moderate","Redis",,,,"APS2-NodeUsage:cache.m1.medium","CreateCacheCluster:0002"
"9JQZFMXBA5DVY5GV","VHSX6N8RTZ","9JQZFMXBA5DVY5GV.VHSX6N8RTZ.6YS6EN2CT7","Reserved","USD 0.303 per Redis, cache.m2.2xlarge instance-hour (or partial hour)","2015-11-30","0","Inf","Hrs","0.3030000000","USD",,"3yr","Light Utilization","standard","Cache Instance","AmazonElastiCache","Asia Pacific (Tokyo)","AWS Region","cache.m2.2xlarge","No","Memory optimized","4","33.8 GiB","Moderate","Redis",,,,"APN1-NodeUsage:cache.m2.2xlarge","CreateCacheCluster:0002"
"C39WE78R2X8NY5UB","YTVHEVGPBZ","C39WE78R2X8NY5UB.YTVHEVGPBZ.2TG2D8R56U","Reserved","Upfront Fee","2015-10-31",,,"Quantity","62","USD",,"1yr","Heavy Utilization","standard","Cache Instance","AmazonElastiCache","EU (Frankfurt)","AWS Region","cache.t2.micro","Yes","Standard","1","0.555 GiB","Low to Moderate","Memcached",,,,"EUC1-NodeUsage:cache.t2.micro","CreateCacheCluster:0001"
"NPHQJXBEBBSVMUH9","VG8YD49WWM","NPHQJXBEBBSVMUH9.VG8YD49WWM.6YS6EN2CT7","Reserved","ElastiCache, cache.m2.xlarge instance-hours used this month","2015-10-31","0","Inf","Hrs","0.0680000000","USD",,"3yr","Heavy Utilization","standard","Cache Instance","AmazonElastiCache","Asia Pacific (Sydney)","AWS Region","cache.m2.xlarge","No","Memory optimized","2","16.7 GiB","Moderate","Memcached",,,,"APS2-NodeUsage:cache.m2.xlarge","CreateCacheCluster:0001"
"UN7UKDZKH58WF789","VG8YD49WWM","UN7UKDZKH58WF789.VG8YD49WWM.2TG2D8R56U","Reserved","Upfront Fee","2015-10-31",,,"Quantity","100","USD",,"3yr","Heavy Utilization","standard","Cache Instance","AmazonElastiCache","Asia Pacific (Singapore)","AWS Region","cache.t1.micro","No","Micro","1","0.213 GiB","Very Low","Memcached",,,,"APS1-NodeUsage:cache.t1.micro","CreateCacheCluster:0001"
"6TYWBAX7TBEJJRC5","VG8YD49WWM","6TYWBAX7TBEJJRC5.VG8YD49WWM.6YS6EN2CT7","Reserved","Redis, cache.m4.4xlarge instance-hours used this month","2016-11-30","0","Inf","Hrs","0.3340000000","USD",,"3yr","Heavy Utilization","standard","Cache Instance","AmazonElastiCache","Canada (Central)","AWS Region","cache.m4.4xlarge","Yes","Standard","16","60.78 GiB","High","Redis",,,,"CAN1-NodeUsage:cache.m4.4xlarge","CreateCacheCluster:0002"
"U52MKUYZVTBEBC2A","JRTCKXETXF","U52MKUYZVTBEBC2A.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.022 per T2 Micro Cache node-hour (or partial hour) running Memcached","2016-11-01","0","Inf","Hrs","0.0220000000","USD","J4YEWN9YDP2TWJ3K",,,,"Cache Instance","AmazonElastiCache","US West (N. California)","AWS Region","cache.t2.micro","Yes","Standard","1","0.555 GiB","Low to Moderate","Memcached",,,,"USW1-NodeUsage:cache.t2.micro","CreateCacheCluster:0001"
"2RMK63E5FRDQYT7G","VG8YD49WWM","2RMK63E5FRDQYT7G.VG8YD49WWM.6YS6EN2CT7","Reserved","ElastiCache, cache.m3.large instance-hours used this month","2015-10-31","0","Inf","Hrs","0.0670000000","USD",,"3yr","Heavy Utilization","standard","Cache Instance","AmazonElastiCache","US West (N. California)","AWS Region","cache.m3.large","Yes","Standard","2","6.05 GiB","Moderate","Memcached",,,,"USW1-NodeUsage:cache.m3.large","CreateCacheCluster:0001"
"2RMK63E5FRDQYT7G","VG8YD49WWM","2RMK63E5FRDQYT7G.VG8YD49WWM.2TG2D8R56U","Reserved","Upfront Fee","2015-10-31",,,"Quantity","673","USD",,"3yr","Heavy Utilization","standard","Cache Instance","AmazonElastiCache","US West (N. California)","AWS Region","cache.m3.large","Yes","Standard","2","6.05 GiB","Moderate","Memcached",,,,"USW1-NodeUsage:cache.m3.large","CreateCacheCluster:0001"
"K2G93QRZGQUZAPXX","YTVHEVGPBZ","K2G93QRZGQUZAPXX.YTVHEVGPBZ.2TG2D8R56U","Reserved","Upfront Fee","2016-09-30",,,"Quantity","8156","USD",,"1yr","Heavy Utilization","standard","Cache Instance","AmazonElastiCache","Asia Pacific (Tokyo)","AWS Region","cache.m4.10xlarge","Yes","Standard","40","154.64 GiB","10 Gigabit","Memcached",,,,"APN1-NodeUsage:cache.m4.10xlarge","CreateCacheCluster:0001"
"B5S98W29QB6Z5TK8","DK9W8XRWES","B5S98W29QB6Z5TK8.DK9W8XRWES.6YS6EN2CT7","Reserved","USD 0.633 per Redis, cache.m2.4xlarge instance-hour (or partial hour)","2015-11-30","0","Inf","Hrs","0.6330000000","USD",,"1yr","Light Utilization","standard","Cache Instance","AmazonElastiCache","Asia Pacific (Sydney)","AWS Region","cache.m2.4xlarge","No","Memory optimized","8","68 GiB","High","Redis",,,,"APS2-NodeUsage:cache.m2.4xlarge","CreateCacheCluster:0002"
"V93KY5FUK3DW7FPT","JRTCKXETXF","V93KY5FUK3DW7FPT.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.623 per Gen Purpose M4.2xlarge node hour running Memcached","2016-11-01","0","Inf","Hrs","0.6230000000","USD",,,,,"Cache Instance","AmazonElastiCache","US West (Oregon)","AWS Region","cache.m4.2xlarge","Yes","Standard","8","29.7 GiB","High","Memcached",,,,"USW2-NodeUsage:cache.m4.2xlarge","CreateCacheCluster:0001"
"VNDKM2KST43R739G","VG8YD49WWM","VNDKM2KST43R739G.VG8YD49WWM.2TG2D8R56U","Reserved","Upfront Fee","2015-10-31",,,"Quantity","3889","USD",,"3yr","Heavy Utilization","standard","Cache Instance","AmazonElastiCache","South America (Sao Paulo)","AWS Region","cache.m2.4xlarge","No","Memory optimized","8","68 GiB","High","Redis",,,,"SAE1-NodeUsage:cache.m2.4xlarge","CreateCacheCluster:0002"
"ACM9HXBUGKHT6VW4","YTVHEVGPBZ","ACM9HXBUGKHT6VW4.YTVHEVGPBZ.2TG2D8R56U","Reserved","Upfront Fee","2016-09-30",,,"Quantity","374","USD",,"1yr","Heavy Utilization","standard","Cache Instance","AmazonElastiCache","EU (Ireland)","AWS Region","cache.m4.large","Yes","Standard","2","6.42 GiB","Moderate","Memcached",,,,"EU-NodeUsage:cache.m4.large","CreateCacheCluster:0001"
"BWBJAC8H45JBERA8","YTVHEVGPBZ","BWBJAC8H45JBERA8.YTVHEVGPBZ.6YS6EN2CT7","Reserved","Redis, cache.m1.xlarge instance-hours used this month","2015-10-31","0","Inf","Hrs","0.1860000000","USD",,"1yr","Heavy Utilization","standard","Cache Instance","AmazonElastiCache","Asia Pacific (Singapore)","AWS Region","cache.m1.xlarge","No","Standard","4","14.6 GiB","High","Redis",,,,"APS1-NodeUsage:cache.m1.xlarge","CreateCacheCluster:0002"
"95CXXHFP6RUE577P","YTVHEVGPBZ","95CXXHFP6RUE577P.YTVHEVGPBZ.2TG2D8R56U","Reserved","Upfront Fee","2015-10-31",,,"Quantity","981","USD",,"1yr","Heavy Utilization","standard","Cache Instance","AmazonElastiCache","Asia Pacific (Singapore)","AWS Region","cache.m3.xlarge","Yes","Standard","4","13.3 GiB","High","Memcached",,,,"APS1-NodeUsage:cache.m3.xlarge","CreateCacheCluster:0001"
"GENDG5CJRV5N3E3Z","VHSX6N8RTZ","GENDG5CJRV5N3E3Z.VHSX6N8RTZ.6YS6EN2CT7","Reserved","USD 0.032 per ElastiCache, cache.m1.small instance-hour (or partial hour)","2015-11-30","0","Inf","Hrs","0.0320000000","USD",,"3yr","Light Utilization","standard","Cache Instance","AmazonElastiCache","Asia Pacific (Singapore)","AWS Region","cache.m1.small","No","Standard","1","1.3 GiB","Low","Memcached",,,,"APS1-NodeUsage:cache.m1.small","CreateCacheCluster:0001"
"4XNTGAU77FY4XHAA","JRTCKXETXF","4XNTGAU77FY4XHAA.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.749 per  High CPU Extra Large Cache node-hour (or partial hour) running Memcached","2016-11-01","0","Inf","Hrs","0.7490000000","USD",,,,,"Cache Instance","AmazonElastiCache","Asia Pacific (Sydney)","AWS Region","cache.c1.xlarge","No","Compute optimized","8","6.6 GiB","High","Memcached",,,,"APS2-NodeUsage:cache.c1.xlarge","CreateCacheCluster:0001"
"S968H7EVQYS7C8GS","KGRZ3REEDN","S968H7EVQYS7C8GS.KGRZ3REEDN.2TG2D8R56U","Reserved","Upfront Fee","2015-11-30",,,"Quantity","2491","USD",,"3yr","Medium Utilization","standard","Cache Instance","AmazonElastiCache","Asia Pacific (Singapore)","AWS Region","cache.m2.4xlarge","No","Memory optimized","8","68 GiB","High","Memcached",,,,"APS1-NodeUsage:cache.m2.4xlarge","CreateCacheCluster:0001"
"C556KQRWSPCVKTDQ","YTVHEVGPBZ","C556KQRWSPCVKTDQ.YTVHEVGPBZ.2TG2D8R56U","Reserved","Upfront Fee","2015-10-31",,,"Quantity","443","USD",,"1yr","Heavy Utilization","standard","Cache Instance","AmazonElastiCache","US East (N. Virginia)","AWS Region","cache.m3.large","Yes","Standard","2","6.05 GiB","Moderate","Memcached",,,,"NodeUsage:cache.m3.large","CreateCacheCluster:0001"
"4B5AMTJ7WDHEGPT3","YTVHEVGPBZ","4B5AMTJ7WDHEGPT3.YTVHEVGPBZ.2TG2D8R56U","Reserved","Upfront Fee","2016-11-30",,,"Quantity","120","USD",,"1yr","Heavy Utilization","standard","Cache Instance","AmazonElastiCache","EU (London)","AWS Region","cache.t2.small","Yes","Standard","1","1.55 GiB","Low to Moderate","Memcached",,,,"EUW2-NodeUsage:cache.t2.small","CreateCacheCluster:0001"
"8PZJ8UTJHY3AD5AF","YTVHEVGPBZ","8PZJ8UTJHY3AD5AF.YTVHEVGPBZ.2TG2D8R56U","Reserved","Upfront Fee","2016-11-30",,,"Quantity","56","USD",,"1yr","Heavy Utilization","standard","Cache Instance","AmazonElastiCache","Canada (Central)","AWS Region","cache.t2.micro","Yes","Standard","1","0.555 GiB","Low to Moderate","Redis",,,,"CAN1-NodeUsage:cache.t2.micro","CreateCacheCluster:0002"
"7QHMMSMQKSB2YVD9","YTVHEVGPBZ","7QHMMSMQKSB2YVD9.YTVHEVGPBZ.6YS6EN2CT7","Reserved","Redis, cache.m4.large instance-hours used this month","2016-07-31","0","Inf","Hrs","0.0810000000","USD",,"1yr","Heavy Utilization","standard","Cache Instance","AmazonElastiCache","Asia Pacific (Mumbai)","AWS Region","cache.m4.large","Yes","Standard","2","6.42 GiB","Moderate","Redis",,,,"APS3-NodeUsage:cache.m4.large","CreateCacheCluster:0002"
"6CZVS8CGR7YF88V3","VG8YD49WWM","6CZVS8CGR7YF88V3.VG8YD49WWM.6YS6EN2CT7","Reserved","ElastiCache, cache.c1.xlarge instance-hours used this month","2015-10-31","0","Inf","Hrs","0.1640000000","USD",,"3yr","Heavy Utilization","standard","Cache Instance","AmazonElastiCache","US East (N. Virginia)","AWS Region","cache.c1.xlarge","No","Compute optimized","8","6.6 GiB","High","Memcached",,,,"NodeUsage:cache.c1.xlarge","CreateCacheCluster:0001"
"PCENCUWB7E7QZT6T","YTVHEVGPBZ","PCENCUWB7E7QZT6T.YTVHEVGPBZ.2TG2D8R56U","Reserved","Upfront Fee","2015-10-31",,,"Quantity","3103","USD",,"1yr","Heavy Utilization","standard","Cache Instance","AmazonElastiCache","EU (Frankfurt)","AWS Region","cache.r3.2xlarge","Yes","Memory optimized","8","58.2 GiB","High","Redis",,,,"EUC1-NodeUsage:cache.r3.2xlarge","CreateCacheCluster:0002"
"8R3AX53WST8GVXRD","VG8YD49WWM","8R3AX53WST8GVXRD.VG8YD49WWM.6YS6EN2CT7","Reserved","Redis, cache.m4.large instance-hours used this month","2016-09-30","0","Inf","Hrs","0.0530000000","USD",,"3yr","Heavy Utilization","standard","Cache Instance","AmazonElastiCache","Asia Pacific (Tokyo)","AWS Region","cache.m4.large","Yes","Standard","2","6.42 GiB","Moderate","Redis",,,,"APN1-NodeUsage:cache.m4.large","CreateCacheCluster:0002"
"2H6SCQJ2CSF9PBF9","VG8YD49WWM","2H6SCQJ2CSF9PBF9.VG8YD49WWM.6YS6EN2CT7","Reserved","Redis, cache.m3.medium instance-hours used this month","2016-09-30","0","Inf","Hrs","0.0300000000","USD",,"3yr","Heavy Utilization","standard","Cache Instance","AmazonElastiCache","Asia Pacific (Seoul)","AWS Region","cache.m3.medium","Yes","Standard","1","2.78 GiB","Moderate","Redis",,,,"APN2-NodeUsage:cache.m3.medium","CreateCacheCluster:0002"
"HB9H52EYE8UZRUSY","YTVHEVGPBZ","HB9H52EYE8UZRUSY.YTVHEVGPBZ.6YS6EN2CT7","Reserved","ElastiCache, cache.m1.medium instance-hours used this month","2015-10-31","0","Inf","Hrs","0.0350000000","USD",,"1yr","Heavy Utilization","standard","Cache Instance","AmazonElastiCache","US East (N. Virginia)","AWS Region","cache.m1.medium","No","Standard","1","3.35 GiB","Moderate","Memcached",,,,"NodeUsage:cache.m1.medium","CreateCacheCluster:0001"
"YZRC43RGQ8HW3BS4","DK9W8XRWES","YZRC43RGQ8HW3BS4.DK9W8XRWES.2TG2D8R56U","Reserved","Upfront Fee","2015-11-30",,,"Quantity","169","USD",,"1yr","Light Utilization","standard","Cache Instance","AmazonElastiCache","Asia Pacific (Singapore)","AWS Region","cache.m2.xlarge","No","Memory optimized","2","16.7 GiB","Moderate","Redis",,,,"APS1-NodeUsage:cache.m2.xlarge","CreateCacheCluster:0002"
"42M2XUT8G25DR7ZM","JRTCKXETXF","42M2XUT8G25DR7ZM.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.052 per T2 Small Cache node-hour (or partial hour) running Memcached","2016-11-01","0","Inf","Hrs","0.0520000000","USD",,,,,"Cache Instance","AmazonElastiCache","Asia Pacific (Singapore)","AWS Region","cache.t2.small","Yes","Standard","1","1.55 GiB","Low to Moderate","Memcached",,,,"APS1-NodeUsage:cache.t2.small","CreateCacheCluster:0001"
