"","Location","SKU","OfferTermCode","RateCode","TermType","PriceDescription","EffectiveDate","StartingRange","EndingRange","Unit","PricePerUnit","Currency","LeaseContractLength","PurchaseOption","OfferingClass","Product.Family","serviceCode","Location.Type","Instance.Type","Current.Generation","Instance.Family","vCPU","Physical.Processor","Clock.Speed","Memory","Storage","Network.Performance","Processor.Architecture","Storage.Media","Volume.Type","Max.Volume.Size","Max.IOPS.volume","Max.IOPS.Burst.Performance","Max.throughput.volume","Provisioned","Tenancy","EBS.Optimized","Operating.System","License.Model","Group","Group.Description","Transfer.Type","From.Location","From.Location.Type","To.Location","To.Location.Type","usageType","operation","Comments","Dedicated.EBS.Throughput","ECU","Enhanced.Networking.Supported","GPU","Instance.Capacity...10xlarge","Instance.Capacity...16xlarge","Instance.Capacity...2xlarge","Instance.Capacity...32xlarge","Instance.Capacity...4xlarge","Instance.Capacity...8xlarge","Instance.Capacity...large","Instance.Capacity...medium","Instance.Capacity...xlarge","Intel.AVX.Available","Intel.AVX2.Available","Intel.Turbo.Available","Normalization.Size.Factor","Physical.Cores","Pre.Installed.S.W","Processor.Features","serviceName","Region","Endpoint","Protocol"
"2485","US West (N. California)","X7EQJS6PVD6RDBPD","HU7G6KETJZ","X7EQJS6PVD6RDBPD.HU7G6KETJZ.2TG2D8R56U","Reserved","Upfront Fee","2015-04-30",NA,NA,"Quantity",1820,"USD","1yr","Partial Upfront","standard","Compute Instance","AmazonEC2","AWS Region","i2.xlarge","No","Storage optimized",4,"Intel Xeon E5-2670 v2 (Ivy Bridge)","2.5 GHz","30.5 GiB","1 x 800 SSD","Moderate","64-bit","","","","","","","","Shared","","Linux","No License required","","","","","","","","USW1-BoxUsage:i2.xlarge","RunInstances","","","14","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",8,NA,NA,"Intel AVX; Intel Turbo","Amazon Elastic Compute Cloud","us-west-1","ec2.us-west-1.amazonaws.com","HTTP and HTTPS"
"2486","US West (N. California)","S7T2R43H93585V7D","HU7G6KETJZ","S7T2R43H93585V7D.HU7G6KETJZ.2TG2D8R56U","Reserved","Upfront Fee","2017-04-30",NA,NA,"Quantity",7096,"USD","1yr","Partial Upfront","standard","Compute Instance","AmazonEC2","AWS Region","m4.10xlarge","Yes","General purpose",40,"Intel Xeon E5-2676 v3 (Haswell)","2.4 GHz","160 GiB","EBS only","10 Gigabit","64-bit","","","","","","","","Shared","","Linux","No License required","","","","","","","","USW1-BoxUsage:m4.10xlarge","RunInstances","","4000 Mbps","124.5","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",80,NA,NA,"Intel AVX; Intel AVX2; Intel Turbo","Amazon Elastic Compute Cloud","us-west-1","ec2.us-west-1.amazonaws.com","HTTP and HTTPS"
"2487","US West (N. California)","PYE3YUCCZCUBD7Z6","HU7G6KETJZ","PYE3YUCCZCUBD7Z6.HU7G6KETJZ.2TG2D8R56U","Reserved","Upfront Fee","2016-11-30",NA,NA,"Quantity",355,"USD","1yr","Partial Upfront","standard","Compute Instance","AmazonEC2","AWS Region","c4.large","Yes","Compute optimized",2,"Intel Xeon E5-2666 v3 (Haswell)","2.9 GHz","3.75 GiB","EBS only","Moderate","64-bit","","","","","","","","Shared","","Linux","No License required","","","","","","","","USW1-BoxUsage:c4.large","RunInstances","","500 Mbps","8","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",4,NA,NA,"Intel AVX; Intel AVX2; Intel Turbo","Amazon Elastic Compute Cloud","us-west-1","ec2.us-west-1.amazonaws.com","HTTP and HTTPS"
"2488","US West (N. California)","DCM8ZJ894B27CQ8G","HU7G6KETJZ","DCM8ZJ894B27CQ8G.HU7G6KETJZ.6YS6EN2CT7","Reserved","Linux/UNIX (Amazon VPC), g3.8xlarge reserved instance applied","2017-06-30",0,Inf,"Hrs",1.019,"USD","1yr","Partial Upfront","standard","Compute Instance","AmazonEC2","AWS Region","g3.8xlarge","Yes","GPU instance",32,"Intel Xeon E5-2686 v4 (Broadwell)","2.3 GHz","244 GiB","EBS only","10 Gigabit","64-bit","","","","","","","","Shared","","Linux","No License required","","","","","","","","USW1-BoxUsage:g3.8xlarge","RunInstances","","7000 Mbps","0","Yes",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes","Yes",64,NA,NA,"Intel AVX, Intel AVX2, Intel Turbo","Amazon Elastic Compute Cloud","us-west-1","ec2.us-west-1.amazonaws.com","HTTP and HTTPS"
"2489","US West (N. California)","MSDZGAVV7DCFG86R","HU7G6KETJZ","MSDZGAVV7DCFG86R.HU7G6KETJZ.6YS6EN2CT7","Reserved","Linux/UNIX (Amazon VPC), r4.2xlarge reserved instance applied","2016-10-31",0,Inf,"Hrs",0.178,"USD","1yr","Partial Upfront","standard","Compute Instance","AmazonEC2","AWS Region","r4.2xlarge","Yes","Memory optimized",8,"Intel Xeon E5-2686 v4 (Broadwell)","2.3 GHz","61 GiB","EBS only","Up to 10 Gigabit","64-bit","","","","","","","","Shared","","Linux","No License required","","","","","","","","USW1-BoxUsage:r4.2xlarge","RunInstances","","1600 Mbps","53","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",16,NA,NA,"Intel AVX, Intel AVX2, Intel Turbo","Amazon Elastic Compute Cloud","us-west-1","ec2.us-west-1.amazonaws.com","HTTP and HTTPS"
"2490","US West (N. California)","TUUGM6RZ9G7UBSUZ","HU7G6KETJZ","TUUGM6RZ9G7UBSUZ.HU7G6KETJZ.6YS6EN2CT7","Reserved","Linux/UNIX (Amazon VPC), r4.2xlarge reserved instance applied","2016-10-31",0,Inf,"Hrs",0.196,"USD","1yr","Partial Upfront","standard","Compute Instance","AmazonEC2","AWS Region","r4.2xlarge","Yes","Memory optimized",8,"Intel Xeon E5-2686 v4 (Broadwell)","2.3 GHz","61 GiB","EBS only","Up to 10 Gigabit","64-bit","","","","","","","","Dedicated","","Linux","No License required","","","","","","","","USW1-DedicatedUsage:r4.2xlarge","RunInstances","","1600 Mbps","53","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",16,NA,NA,"Intel AVX, Intel AVX2, Intel Turbo","Amazon Elastic Compute Cloud","us-west-1","ec2.us-west-1.amazonaws.com","HTTP and HTTPS"
"2491","US West (N. California)","XYKBXFC22KPGZTDN","HU7G6KETJZ","XYKBXFC22KPGZTDN.HU7G6KETJZ.6YS6EN2CT7","Reserved","Linux/UNIX (Amazon VPC), r4.large reserved instance applied","2016-11-30",0,Inf,"Hrs",0.049,"USD","1yr","Partial Upfront","standard","Compute Instance","AmazonEC2","AWS Region","r4.large","Yes","Memory optimized",2,"Intel Xeon E5-2686 v4 (Broadwell)","2.3 GHz","15.25 GiB","EBS only","Up to 10 Gigabit","64-bit","","","","","","","","Dedicated","","Linux","No License required","","","","","","","","USW1-DedicatedUsage:r4.large","RunInstances","","400 Mbps","135","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",4,NA,NA,"Intel AVX, Intel AVX2, Intel Turbo","Amazon Elastic Compute Cloud","us-west-1","ec2.us-west-1.amazonaws.com","HTTP and HTTPS"
"2492","US West (N. California)","4GAV6VD5FWD8W8B4","HU7G6KETJZ","4GAV6VD5FWD8W8B4.HU7G6KETJZ.2TG2D8R56U","Reserved","Upfront Fee","2016-09-30",NA,NA,"Quantity",5216,"USD","1yr","Partial Upfront","standard","Compute Instance","AmazonEC2","AWS Region","c3.8xlarge","Yes","Compute optimized",32,"Intel Xeon E5-2680 v2 (Ivy Bridge)","2.8 GHz","60 GiB","2 x 320 SSD","10 Gigabit","64-bit","","","","","","","","Shared","","Linux","No License required","","","","","","","","USW1-BoxUsage:c3.8xlarge","RunInstances","","","108","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",64,NA,NA,"Intel AVX; Intel Turbo","Amazon Elastic Compute Cloud","us-west-1","ec2.us-west-1.amazonaws.com","HTTP and HTTPS"
"2493","US West (N. California)","JJRB8PAXGN6JTB3D","HU7G6KETJZ","JJRB8PAXGN6JTB3D.HU7G6KETJZ.6YS6EN2CT7","Reserved","Linux/UNIX (Amazon VPC), m1.xlarge reserved instance applied","2015-04-30",0,Inf,"Hrs",0.127,"USD","1yr","Partial Upfront","standard","Compute Instance","AmazonEC2","AWS Region","m1.xlarge","No","General purpose",4,"Intel Xeon Family","","15 GiB","4 x 420","High","64-bit","","","","","","","","Shared","","Linux","No License required","","","","","","","","USW1-BoxUsage:m1.xlarge","RunInstances","","","8","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",8,NA,NA,"","Amazon Elastic Compute Cloud","us-west-1","ec2.us-west-1.amazonaws.com","HTTP and HTTPS"
"2494","US West (N. California)","RMARGSE4CA952UDV","HU7G6KETJZ","RMARGSE4CA952UDV.HU7G6KETJZ.6YS6EN2CT7","Reserved","Linux/UNIX (Amazon VPC), r3.xlarge reserved instance applied","2015-12-31",0,Inf,"Hrs",0.082,"USD","1yr","Partial Upfront","standard","Compute Instance","AmazonEC2","AWS Region","r3.xlarge","Yes","Memory optimized",4,"Intel Xeon E5-2670 v2 (Ivy Bridge)","2.5 GHz","30.5 GiB","1 x 80 SSD","Moderate","64-bit","","","","","","","","Shared","","Linux","No License required","","","","","","","","USW1-BoxUsage:r3.xlarge","RunInstances","","","13","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",8,NA,NA,"Intel AVX; Intel Turbo","Amazon Elastic Compute Cloud","us-west-1","ec2.us-west-1.amazonaws.com","HTTP and HTTPS"
"2495","US West (N. California)","S7T2R43H93585V7D","HU7G6KETJZ","S7T2R43H93585V7D.HU7G6KETJZ.6YS6EN2CT7","Reserved","Linux/UNIX (Amazon VPC), m4.10xlarge reserved instance applied","2017-04-30",0,Inf,"Hrs",0.81,"USD","1yr","Partial Upfront","standard","Compute Instance","AmazonEC2","AWS Region","m4.10xlarge","Yes","General purpose",40,"Intel Xeon E5-2676 v3 (Haswell)","2.4 GHz","160 GiB","EBS only","10 Gigabit","64-bit","","","","","","","","Shared","","Linux","No License required","","","","","","","","USW1-BoxUsage:m4.10xlarge","RunInstances","","4000 Mbps","124.5","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",80,NA,NA,"Intel AVX; Intel AVX2; Intel Turbo","Amazon Elastic Compute Cloud","us-west-1","ec2.us-west-1.amazonaws.com","HTTP and HTTPS"
"2496","US West (N. California)","K8G9ANU3V553QYR4","HU7G6KETJZ","K8G9ANU3V553QYR4.HU7G6KETJZ.6YS6EN2CT7","Reserved","Linux/UNIX (Amazon VPC), c4.4xlarge reserved instance applied","2016-11-30",0,Inf,"Hrs",0.358,"USD","1yr","Partial Upfront","standard","Compute Instance","AmazonEC2","AWS Region","c4.4xlarge","Yes","Compute optimized",16,"Intel Xeon E5-2666 v3 (Haswell)","2.9 GHz","30 GiB","EBS only","High","64-bit","","","","","","","","Dedicated","","Linux","No License required","","","","","","","","USW1-DedicatedUsage:c4.4xlarge","RunInstances","","2000 Mbps","62","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",32,NA,NA,"Intel AVX; Intel AVX2; Intel Turbo","Amazon Elastic Compute Cloud","us-west-1","ec2.us-west-1.amazonaws.com","HTTP and HTTPS"
"2497","US West (N. California)","SNQRZ47M5RKTW6KG","HU7G6KETJZ","SNQRZ47M5RKTW6KG.HU7G6KETJZ.2TG2D8R56U","Reserved","Upfront Fee","2016-10-31",NA,NA,"Quantity",12462,"USD","1yr","Partial Upfront","standard","Compute Instance","AmazonEC2","AWS Region","r4.16xlarge","Yes","Memory optimized",64,"Intel Xeon E5-2686 v4 (Broadwell)","2.3 GHz","488 GiB","EBS only","20 Gigabit","64-bit","","","","","","","","Dedicated","","Linux","No License required","","","","","","","","USW1-DedicatedUsage:r4.16xlarge","RunInstances","","12000 Mbps","27","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",128,NA,NA,"Intel AVX, Intel AVX2, Intel Turbo","Amazon Elastic Compute Cloud","us-west-1","ec2.us-west-1.amazonaws.com","HTTP and HTTPS"
"2498","US West (N. California)","EX33FD39CKVCKNYQ","HU7G6KETJZ","EX33FD39CKVCKNYQ.HU7G6KETJZ.2TG2D8R56U","Reserved","Upfront Fee","2017-04-30",NA,NA,"Quantity",3122,"USD","1yr","Partial Upfront","standard","Compute Instance","AmazonEC2","AWS Region","m4.4xlarge","Yes","General purpose",16,"Intel Xeon E5-2676 v3 (Haswell)","2.4 GHz","64 GiB","EBS only","High","64-bit","","","","","","","","Dedicated","","Linux","No License required","","","","","","","","USW1-DedicatedUsage:m4.4xlarge","RunInstances","","2000 Mbps","53.5","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",32,NA,NA,"Intel AVX; Intel AVX2; Intel Turbo","Amazon Elastic Compute Cloud","us-west-1","ec2.us-west-1.amazonaws.com","HTTP and HTTPS"
