"","Location","SKU","OfferTermCode","RateCode","TermType","PriceDescription","EffectiveDate","StartingRange","EndingRange","Unit","PricePerUnit","Currency","LeaseContractLength","PurchaseOption","OfferingClass","Product.Family","serviceCode","Location.Type","Instance.Type","Current.Generation","Instance.Family","vCPU","Physical.Processor","Clock.Speed","Memory","Storage","Network.Performance","Processor.Architecture","Storage.Media","Volume.Type","Max.Volume.Size","Max.IOPS.volume","Max.IOPS.Burst.Performance","Max.throughput.volume","Provisioned","Tenancy","EBS.Optimized","Operating.System","License.Model","Group","Group.Description","Transfer.Type","From.Location","From.Location.Type","To.Location","To.Location.Type","usageType","operation","Comments","Dedicated.EBS.Throughput","ECU","Enhanced.Networking.Supported","GPU","Instance.Capacity...10xlarge","Instance.Capacity...16xlarge","Instance.Capacity...2xlarge","Instance.Capacity...32xlarge","Instance.Capacity...4xlarge","Instance.Capacity...8xlarge","Instance.Capacity...large","Instance.Capacity...medium","Instance.Capacity...xlarge","Intel.AVX.Available","Intel.AVX2.Available","Intel.Turbo.Available","Normalization.Size.Factor","Physical.Cores","Pre.Installed.S.W","Processor.Features","serviceName","Region","Endpoint","Protocol"
"1","Asia Pacific (Mumbai)","E6GDY5BCW9DUX2XE","HU7G6KETJZ","E6GDY5BCW9DUX2XE.HU7G6KETJZ.6YS6EN2CT7","Reserved","Linux/UNIX (Amazon VPC), p2.16xlarge reserved instance applied","2017-07-31",0,Inf,"Hrs",9.838,"USD","1yr","Partial Upfront","standard","Compute Instance","AmazonEC2","AWS Region","p2.16xlarge","Yes","GPU instance",64,"Intel Xeon E5-2686 v4 (Broadwell)","","768 GiB","EBS only","20 Gigabit","64-bit","","","","","","","","Dedicated","","Linux","No License required","","","","","","","","APS3-DedicatedUsage:p2.16xlarge","RunInstances","","","188","",16,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",128,NA,NA,"","Amazon Elastic Compute Cloud","ap-south-1","ec2.ap-south-1.amazonaws.com","HTTP and HTTPS"
"2","Asia Pacific (Mumbai)","Q3DWV2ZGENHRB735","HU7G6KETJZ","Q3DWV2ZGENHRB735.HU7G6KETJZ.2TG2D8R56U","Reserved","Upfront Fee","2017-07-31",NA,NA,"Quantity",86177,"USD","1yr","Partial Upfront","standard","Compute Instance","AmazonEC2","AWS Region","p2.16xlarge","Yes","GPU instance",64,"Intel Xeon E5-2686 v4 (Broadwell)","","768 GiB","EBS only","20 Gigabit","64-bit","","","","","","","","Shared","","Linux","No License required","","","","","","","","APS3-BoxUsage:p2.16xlarge","RunInstances","","","188","",16,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",128,NA,NA,"","Amazon Elastic Compute Cloud","ap-south-1","ec2.ap-south-1.amazonaws.com","HTTP and HTTPS"
"3","Asia Pacific (Mumbai)","253W4ZTWJQVEP9BX","HU7G6KETJZ","253W4ZTWJQVEP9BX.HU7G6KETJZ.2TG2D8R56U","Reserved","Upfront Fee","2016-11-30",NA,NA,"Quantity",342,"USD","1yr","Partial Upfront","standard","Compute Instance","AmazonEC2","AWS Region","c4.large","Yes","Compute optimized",2,"Intel Xeon E5-2666 v3 (Haswell)","2.9 GHz","3.75 GiB","EBS only","Moderate","64-bit","","","","","","","","Dedicated","","Linux","No License required","","","","","","","","APS3-DedicatedUsage:c4.large","RunInstances","","500 Mbps","8","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",4,NA,NA,"Intel AVX; Intel AVX2; Intel Turbo","Amazon Elastic Compute Cloud","ap-south-1","ec2.ap-south-1.amazonaws.com","HTTP and HTTPS"
"4","Asia Pacific (Mumbai)","6WEWVSQQNNN97J84","HU7G6KETJZ","6WEWVSQQNNN97J84.HU7G6KETJZ.2TG2D8R56U","Reserved","Upfront Fee","2016-10-31",NA,NA,"Quantity",17399,"USD","1yr","Partial Upfront","standard","Compute Instance","AmazonEC2","AWS Region","i2.8xlarge","No","Storage optimized",32,"Intel Xeon E5-2670 v2 (Ivy Bridge)","2.5 GHz","244 GiB","8 x 800 SSD","10 Gigabit","64-bit","","","","","","","","Dedicated","","Linux","No License required","","","","","","","","APS3-DedicatedUsage:i2.8xlarge","RunInstances","","","104","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",64,NA,NA,"Intel AVX; Intel Turbo","Amazon Elastic Compute Cloud","ap-south-1","ec2.ap-south-1.amazonaws.com","HTTP and HTTPS"
"5","Asia Pacific (Mumbai)","H6K6YWPJMXZE4QSK","HU7G6KETJZ","H6K6YWPJMXZE4QSK.HU7G6KETJZ.2TG2D8R56U","Reserved","Upfront Fee","2017-02-28",NA,NA,"Quantity",439,"USD","1yr","Partial Upfront","standard","Compute Instance","AmazonEC2","AWS Region","r4.large","Yes","Memory optimized",2,"Intel Xeon E5-2686 v4 (Broadwell)","2.3 GHz","15.25 GiB","EBS only","Up to 10 Gigabit","64-bit","","","","","","","","Dedicated","","Linux","No License required","","","","","","","","APS3-DedicatedUsage:r4.large","RunInstances","","400 Mbps","135","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",4,NA,NA,"Intel AVX, Intel AVX2, Intel Turbo","Amazon Elastic Compute Cloud","ap-south-1","ec2.ap-south-1.amazonaws.com","HTTP and HTTPS"
"6","Asia Pacific (Mumbai)","JQKF65J6237E3TH8","HU7G6KETJZ","JQKF65J6237E3TH8.HU7G6KETJZ.2TG2D8R56U","Reserved","Upfront Fee","2017-03-31",NA,NA,"Quantity",7030,"USD","1yr","Partial Upfront","standard","Compute Instance","AmazonEC2","AWS Region","r4.8xlarge","Yes","Memory optimized",32,"Intel Xeon E5-2686 v4 (Broadwell)","2.3 GHz","244 GiB","EBS only","10 Gigabit","64-bit","","","","","","","","Dedicated","","Linux","No License required","","","","","","","","APS3-DedicatedUsage:r4.8xlarge","RunInstances","","6000 Mbps","7","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",64,NA,NA,"Intel AVX, Intel AVX2, Intel Turbo","Amazon Elastic Compute Cloud","ap-south-1","ec2.ap-south-1.amazonaws.com","HTTP and HTTPS"
"7","Asia Pacific (Mumbai)","Q9C9P99FBFT9WJRG","HU7G6KETJZ","Q9C9P99FBFT9WJRG.HU7G6KETJZ.2TG2D8R56U","Reserved","Upfront Fee","2016-05-31",NA,NA,"Quantity",1188,"USD","1yr","Partial Upfront","standard","Compute Instance","AmazonEC2","AWS Region","r3.xlarge","Yes","Memory optimized",4,"Intel Xeon E5-2670 v2 (Ivy Bridge)","2.5 GHz","30.5 GiB","1 x 80 SSD","Moderate","64-bit","","","","","","","","Dedicated","","Linux","No License required","","","","","","","","APS3-DedicatedUsage:r3.xlarge","RunInstances","","","13","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",8,NA,NA,"Intel AVX; Intel Turbo","Amazon Elastic Compute Cloud","ap-south-1","ec2.ap-south-1.amazonaws.com","HTTP and HTTPS"
"8","Asia Pacific (Mumbai)","5N383TJKMC5FSCKD","HU7G6KETJZ","5N383TJKMC5FSCKD.HU7G6KETJZ.2TG2D8R56U","Reserved","Upfront Fee","2016-05-31",NA,NA,"Quantity",8646,"USD","1yr","Partial Upfront","standard","Compute Instance","AmazonEC2","AWS Region","r3.8xlarge","Yes","Memory optimized",32,"Intel Xeon E5-2670 v2 (Ivy Bridge)","2.5 GHz","244 GiB","2 x 320 SSD","10 Gigabit","64-bit","","","","","","","","Shared","","Linux","No License required","","","","","","","","APS3-BoxUsage:r3.8xlarge","RunInstances","","","104","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",64,NA,NA,"Intel AVX; Intel Turbo","Amazon Elastic Compute Cloud","ap-south-1","ec2.ap-south-1.amazonaws.com","HTTP and HTTPS"
"9","Asia Pacific (Mumbai)","ZVMAFPQR3NKB6VVP","HU7G6KETJZ","ZVMAFPQR3NKB6VVP.HU7G6KETJZ.6YS6EN2CT7","Reserved","Linux/UNIX (Amazon VPC), m4.2xlarge reserved instance applied","2017-04-30",0,Inf,"Hrs",0.146,"USD","1yr","Partial Upfront","standard","Compute Instance","AmazonEC2","AWS Region","m4.2xlarge","Yes","General purpose",8,"Intel Xeon E5-2676 v3 (Haswell)","2.4 GHz","32 GiB","EBS only","High","64-bit","","","","","","","","Shared","","Linux","No License required","","","","","","","","APS3-BoxUsage:m4.2xlarge","RunInstances","","1000 Mbps","26","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",16,NA,NA,"Intel AVX; Intel AVX2; Intel Turbo","Amazon Elastic Compute Cloud","ap-south-1","ec2.ap-south-1.amazonaws.com","HTTP and HTTPS"
"10","Asia Pacific (Mumbai)","QRFEPGVXKEWT5CQM","HU7G6KETJZ","QRFEPGVXKEWT5CQM.HU7G6KETJZ.2TG2D8R56U","Reserved","Upfront Fee","2017-04-30",NA,NA,"Quantity",10232,"USD","1yr","Partial Upfront","standard","Compute Instance","AmazonEC2","AWS Region","m4.16xlarge","Yes","General purpose",64,"Intel Xeon E5-2686 v4 (Broadwell)","2.3 GHz","256 GiB","EBS only","20 Gigabit","64-bit","","","","","","","","Dedicated","","Linux","No License required","","","","","","","","APS3-DedicatedUsage:m4.16xlarge","RunInstances","","10000 Mbps","188","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",128,NA,NA,"Intel AVX, Intel AVX2, Intel Turbo","Amazon Elastic Compute Cloud","ap-south-1","ec2.ap-south-1.amazonaws.com","HTTP and HTTPS"
"11","Asia Pacific (Mumbai)","8QSF3N7J5XDBBGF7","HU7G6KETJZ","8QSF3N7J5XDBBGF7.HU7G6KETJZ.2TG2D8R56U","Reserved","Upfront Fee","2016-09-30",NA,NA,"Quantity",25975,"USD","1yr","Partial Upfront","standard","Compute Instance","AmazonEC2","AWS Region","x1.16xlarge","Yes","Memory optimized",64,"High Frequency Intel Xeon E7-8880 v3 (Haswell)","2.3 GHz","976 Gib","1 x 1,920","High","64-bit","","","","","","","","Dedicated","","Linux","No License required","","","","","","","","APS3-DedicatedUsage:x1.16xlarge","RunInstances","","","124.5","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes","Yes",128,NA,NA,"","Amazon Elastic Compute Cloud","ap-south-1","ec2.ap-south-1.amazonaws.com","HTTP and HTTPS"
"12","Asia Pacific (Mumbai)","KFTR5EQCGQ6AUYXP","HU7G6KETJZ","KFTR5EQCGQ6AUYXP.HU7G6KETJZ.2TG2D8R56U","Reserved","Upfront Fee","2016-11-30",NA,NA,"Quantity",311,"USD","1yr","Partial Upfront","standard","Compute Instance","AmazonEC2","AWS Region","c4.large","Yes","Compute optimized",2,"Intel Xeon E5-2666 v3 (Haswell)","2.9 GHz","3.75 GiB","EBS only","Moderate","64-bit","","","","","","","","Shared","","Linux","No License required","","","","","","","","APS3-BoxUsage:c4.large","RunInstances","","500 Mbps","8","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",4,NA,NA,"Intel AVX; Intel AVX2; Intel Turbo","Amazon Elastic Compute Cloud","ap-south-1","ec2.ap-south-1.amazonaws.com","HTTP and HTTPS"
"13","Asia Pacific (Mumbai)","CHQZR4UUZHGECY86","HU7G6KETJZ","CHQZR4UUZHGECY86.HU7G6KETJZ.2TG2D8R56U","Reserved","Upfront Fee","2017-03-31",NA,NA,"Quantity",3515,"USD","1yr","Partial Upfront","standard","Compute Instance","AmazonEC2","AWS Region","r4.4xlarge","Yes","Memory optimized",16,"Intel Xeon E5-2686 v4 (Broadwell)","2.3 GHz","122 GiB","EBS only","Up to 10 Gigabit","64-bit","","","","","","","","Dedicated","","Linux","No License required","","","","","","","","APS3-DedicatedUsage:r4.4xlarge","RunInstances","","3000 Mbps","99","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",32,NA,NA,"Intel AVX, Intel AVX2, Intel Turbo","Amazon Elastic Compute Cloud","ap-south-1","ec2.ap-south-1.amazonaws.com","HTTP and HTTPS"
"14","Asia Pacific (Mumbai)","MKNAAVQMBXXNTPQQ","HU7G6KETJZ","MKNAAVQMBXXNTPQQ.HU7G6KETJZ.2TG2D8R56U","Reserved","Upfront Fee","2016-10-31",NA,NA,"Quantity",542,"USD","1yr","Partial Upfront","standard","Compute Instance","AmazonEC2","AWS Region","r3.large","Yes","Memory optimized",2,"Intel Xeon E5-2670 v2 (Ivy Bridge)","2.5 GHz","15.25 GiB","1 x 32 SSD","Moderate","64-bit","","","","","","","","Shared","","Linux","No License required","","","","","","","","APS3-BoxUsage:r3.large","RunInstances","","","6.5","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",4,NA,NA,"Intel AVX; Intel Turbo","Amazon Elastic Compute Cloud","ap-south-1","ec2.ap-south-1.amazonaws.com","HTTP and HTTPS"
"15","Asia Pacific (Mumbai)","JXAMSKC2ZXKCA37S","HU7G6KETJZ","JXAMSKC2ZXKCA37S.HU7G6KETJZ.2TG2D8R56U","Reserved","Upfront Fee","2016-11-30",NA,NA,"Quantity",48,"USD","1yr","Partial Upfront","standard","Compute Instance","AmazonEC2","AWS Region","t2.micro","Yes","General purpose",1,"Intel Xeon Family","Up to 3.3 GHz","1 GiB","EBS only","Low to Moderate","32-bit or 64-bit","","","","","","","","Shared","","Linux","No License required","","","","","","","","APS3-BoxUsage:t2.micro","RunInstances","","","Variable","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",0.5,NA,NA,"Intel AVX; Intel Turbo","Amazon Elastic Compute Cloud","ap-south-1","ec2.ap-south-1.amazonaws.com","HTTP and HTTPS"
"16","Asia Pacific (Mumbai)","H5AUMASDPTV7QC6M","HU7G6KETJZ","H5AUMASDPTV7QC6M.HU7G6KETJZ.6YS6EN2CT7","Reserved","Linux/UNIX (Amazon VPC), c4.8xlarge reserved instance applied","2016-11-30",0,Inf,"Hrs",0.564,"USD","1yr","Partial Upfront","standard","Compute Instance","AmazonEC2","AWS Region","c4.8xlarge","Yes","Compute optimized",36,"Intel Xeon E5-2666 v3 (Haswell)","2.9 GHz","60 GiB","EBS only","10 Gigabit","64-bit","","","","","","","","Dedicated","","Linux","No License required","","","","","","","","APS3-DedicatedUsage:c4.8xlarge","RunInstances","","4000 Mbps","132","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",64,NA,NA,"Intel AVX; Intel AVX2; Intel Turbo","Amazon Elastic Compute Cloud","ap-south-1","ec2.ap-south-1.amazonaws.com","HTTP and HTTPS"
"17","Asia Pacific (Mumbai)","JQKF65J6237E3TH8","HU7G6KETJZ","JQKF65J6237E3TH8.HU7G6KETJZ.6YS6EN2CT7","Reserved","Linux/UNIX (Amazon VPC), r4.8xlarge reserved instance applied","2017-03-31",0,Inf,"Hrs",0.803,"USD","1yr","Partial Upfront","standard","Compute Instance","AmazonEC2","AWS Region","r4.8xlarge","Yes","Memory optimized",32,"Intel Xeon E5-2686 v4 (Broadwell)","2.3 GHz","244 GiB","EBS only","10 Gigabit","64-bit","","","","","","","","Dedicated","","Linux","No License required","","","","","","","","APS3-DedicatedUsage:r4.8xlarge","RunInstances","","6000 Mbps","7","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",64,NA,NA,"Intel AVX, Intel AVX2, Intel Turbo","Amazon Elastic Compute Cloud","ap-south-1","ec2.ap-south-1.amazonaws.com","HTTP and HTTPS"
"18","Asia Pacific (Mumbai)","PQ3DNWCYP23HYB65","HU7G6KETJZ","PQ3DNWCYP23HYB65.HU7G6KETJZ.6YS6EN2CT7","Reserved","Linux/UNIX (Amazon VPC), i3.2xlarge reserved instance applied","2017-02-28",0,Inf,"Hrs",0.253,"USD","1yr","Partial Upfront","standard","Compute Instance","AmazonEC2","AWS Region","i3.2xlarge","Yes","Storage optimized",8,"Intel Xeon E5-2686 v4 (Broadwell)","2.3 GHz","61 GiB","1 x 1.9 NVMe SSD","Up to 10 Gigabit","64-bit","","","","","","","","Dedicated","","Linux","No License required","","","","","","","","APS3-DedicatedUsage:i3.2xlarge","RunInstances","","1750 Mbps","53","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",16,NA,NA,"Intel AVX, Intel AVX2, Intel Turbo","Amazon Elastic Compute Cloud","ap-south-1","ec2.ap-south-1.amazonaws.com","HTTP and HTTPS"
"19","Asia Pacific (Mumbai)","G4283CPK5MQ5QQ2A","HU7G6KETJZ","G4283CPK5MQ5QQ2A.HU7G6KETJZ.2TG2D8R56U","Reserved","Upfront Fee","2016-10-31",NA,NA,"Quantity",17399,"USD","1yr","Partial Upfront","standard","Compute Instance","AmazonEC2","AWS Region","i2.8xlarge","No","Storage optimized",32,"Intel Xeon E5-2670 v2 (Ivy Bridge)","2.5 GHz","244 GiB","8 x 800 SSD","10 Gigabit","64-bit","","","","","","","","Shared","","Linux","No License required","","","","","","","","APS3-BoxUsage:i2.8xlarge","RunInstances","","","104","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",64,NA,NA,"Intel AVX; Intel Turbo","Amazon Elastic Compute Cloud","ap-south-1","ec2.ap-south-1.amazonaws.com","HTTP and HTTPS"
"20","Asia Pacific (Mumbai)","6HT9DY3TFZK57P25","HU7G6KETJZ","6HT9DY3TFZK57P25.HU7G6KETJZ.6YS6EN2CT7","Reserved","Linux/UNIX (Amazon VPC), p2.8xlarge reserved instance applied","2017-07-31",0,Inf,"Hrs",5.411,"USD","1yr","Partial Upfront","standard","Compute Instance","AmazonEC2","AWS Region","p2.8xlarge","Yes","GPU instance",32,"Intel Xeon E5-2686 v4 (Broadwell)","","488 GiB","EBS only","10 Gigabit","64-bit","","","","","","","","Dedicated","","Linux","No License required","","","","","","","","APS3-DedicatedUsage:p2.8xlarge","RunInstances","","","94","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",64,NA,NA,"","Amazon Elastic Compute Cloud","ap-south-1","ec2.ap-south-1.amazonaws.com","HTTP and HTTPS"
"21","Asia Pacific (Mumbai)","K2V83HS47FBDSX5J","HU7G6KETJZ","K2V83HS47FBDSX5J.HU7G6KETJZ.6YS6EN2CT7","Reserved","Linux/UNIX (Amazon VPC), r4.2xlarge reserved instance applied","2017-03-31",0,Inf,"Hrs",0.182,"USD","1yr","Partial Upfront","standard","Compute Instance","AmazonEC2","AWS Region","r4.2xlarge","Yes","Memory optimized",8,"Intel Xeon E5-2686 v4 (Broadwell)","2.3 GHz","61 GiB","EBS only","Up to 10 Gigabit","64-bit","","","","","","","","Shared","","Linux","No License required","","","","","","","","APS3-BoxUsage:r4.2xlarge","RunInstances","","1600 Mbps","53","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",16,NA,NA,"Intel AVX, Intel AVX2, Intel Turbo","Amazon Elastic Compute Cloud","ap-south-1","ec2.ap-south-1.amazonaws.com","HTTP and HTTPS"
"22","Asia Pacific (Mumbai)","6WEWVSQQNNN97J84","HU7G6KETJZ","6WEWVSQQNNN97J84.HU7G6KETJZ.6YS6EN2CT7","Reserved","Linux/UNIX (Amazon VPC), i2.8xlarge reserved instance applied","2016-10-31",0,Inf,"Hrs",1.986,"USD","1yr","Partial Upfront","standard","Compute Instance","AmazonEC2","AWS Region","i2.8xlarge","No","Storage optimized",32,"Intel Xeon E5-2670 v2 (Ivy Bridge)","2.5 GHz","244 GiB","8 x 800 SSD","10 Gigabit","64-bit","","","","","","","","Dedicated","","Linux","No License required","","","","","","","","APS3-DedicatedUsage:i2.8xlarge","RunInstances","","","104","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",64,NA,NA,"Intel AVX; Intel Turbo","Amazon Elastic Compute Cloud","ap-south-1","ec2.ap-south-1.amazonaws.com","HTTP and HTTPS"
"23","Asia Pacific (Mumbai)","XTFZR9TBQ56GEWU8","HU7G6KETJZ","XTFZR9TBQ56GEWU8.HU7G6KETJZ.2TG2D8R56U","Reserved","Upfront Fee","2016-10-31",NA,NA,"Quantity",4788,"USD","1yr","Partial Upfront","standard","Compute Instance","AmazonEC2","AWS Region","i2.2xlarge","No","Storage optimized",8,"Intel Xeon E5-2670 v2 (Ivy Bridge)","2.5 GHz","61 GiB","2 x 800 SSD","High","64-bit","","","","","","","","Dedicated","","Linux","No License required","","","","","","","","APS3-DedicatedUsage:i2.2xlarge","RunInstances","","","27","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",16,NA,NA,"Intel AVX; Intel Turbo","Amazon Elastic Compute Cloud","ap-south-1","ec2.ap-south-1.amazonaws.com","HTTP and HTTPS"
"24","Asia Pacific (Mumbai)","5N383TJKMC5FSCKD","HU7G6KETJZ","5N383TJKMC5FSCKD.HU7G6KETJZ.6YS6EN2CT7","Reserved","Linux/UNIX (Amazon VPC), r3.8xlarge reserved instance applied","2016-05-31",0,Inf,"Hrs",0.987,"USD","1yr","Partial Upfront","standard","Compute Instance","AmazonEC2","AWS Region","r3.8xlarge","Yes","Memory optimized",32,"Intel Xeon E5-2670 v2 (Ivy Bridge)","2.5 GHz","244 GiB","2 x 320 SSD","10 Gigabit","64-bit","","","","","","","","Shared","","Linux","No License required","","","","","","","","APS3-BoxUsage:r3.8xlarge","RunInstances","","","104","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",64,NA,NA,"Intel AVX; Intel Turbo","Amazon Elastic Compute Cloud","ap-south-1","ec2.ap-south-1.amazonaws.com","HTTP and HTTPS"
"25","Asia Pacific (Mumbai)","JGX7MGF4AZ52QUYH","HU7G6KETJZ","JGX7MGF4AZ52QUYH.HU7G6KETJZ.2TG2D8R56U","Reserved","Upfront Fee","2016-06-30",NA,NA,"Quantity",8027,"USD","1yr","Partial Upfront","standard","Compute Instance","AmazonEC2","AWS Region","d2.4xlarge","Yes","Storage optimized",16,"Intel Xeon E5-2676v3 (Haswell)","2.4 GHz","122 GiB","12 x 2000 HDD","High","64-bit","","","","","","","","Dedicated","","Linux","No License required","","","","","","","","APS3-DedicatedUsage:d2.4xlarge","RunInstances","","","56","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",32,NA,NA,"Intel AVX; Intel AVX2; Intel Turbo","Amazon Elastic Compute Cloud","ap-south-1","ec2.ap-south-1.amazonaws.com","HTTP and HTTPS"
"26","Asia Pacific (Mumbai)","3P5UPPTRJJQ6TKSU","HU7G6KETJZ","3P5UPPTRJJQ6TKSU.HU7G6KETJZ.2TG2D8R56U","Reserved","Upfront Fee","2017-04-30",NA,NA,"Quantity",320,"USD","1yr","Partial Upfront","standard","Compute Instance","AmazonEC2","AWS Region","m4.large","Yes","General purpose",2,"Intel Xeon E5-2676 v3 (Haswell)","2.4 GHz","8 GiB","EBS only","Moderate","64-bit","","","","","","","","Shared","","Linux","No License required","","","","","","","","APS3-BoxUsage:m4.large","RunInstances","","450 Mbps","6.5","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",4,NA,NA,"Intel AVX; Intel AVX2; Intel Turbo","Amazon Elastic Compute Cloud","ap-south-1","ec2.ap-south-1.amazonaws.com","HTTP and HTTPS"
"27","Asia Pacific (Mumbai)","MBU7HM76942C8VBD","HU7G6KETJZ","MBU7HM76942C8VBD.HU7G6KETJZ.2TG2D8R56U","Reserved","Upfront Fee","2016-10-31",NA,NA,"Quantity",47230,"USD","1yr","Partial Upfront","standard","Compute Instance","AmazonEC2","AWS Region","x1.32xlarge","Yes","Memory optimized",128,"High Frequency Intel Xeon E7-8880 v3 (Haswell)","2.3 GHz","1,952 Gib","2 x 1,920","High","64-bit","","","","","","","","Dedicated","","Linux","No License required","","","","","","","","APS3-DedicatedUsage:x1.32xlarge","RunInstances","","","349","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes","Yes",256,NA,NA,"","Amazon Elastic Compute Cloud","ap-south-1","ec2.ap-south-1.amazonaws.com","HTTP and HTTPS"
"28","Asia Pacific (Mumbai)","H6K6YWPJMXZE4QSK","HU7G6KETJZ","H6K6YWPJMXZE4QSK.HU7G6KETJZ.6YS6EN2CT7","Reserved","Linux/UNIX (Amazon VPC), r4.large reserved instance applied","2017-02-28",0,Inf,"Hrs",0.05,"USD","1yr","Partial Upfront","standard","Compute Instance","AmazonEC2","AWS Region","r4.large","Yes","Memory optimized",2,"Intel Xeon E5-2686 v4 (Broadwell)","2.3 GHz","15.25 GiB","EBS only","Up to 10 Gigabit","64-bit","","","","","","","","Dedicated","","Linux","No License required","","","","","","","","APS3-DedicatedUsage:r4.large","RunInstances","","400 Mbps","135","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",4,NA,NA,"Intel AVX, Intel AVX2, Intel Turbo","Amazon Elastic Compute Cloud","ap-south-1","ec2.ap-south-1.amazonaws.com","HTTP and HTTPS"
"29","Asia Pacific (Mumbai)","2M95KZBY9QJCSVWB","HU7G6KETJZ","2M95KZBY9QJCSVWB.HU7G6KETJZ.2TG2D8R56U","Reserved","Upfront Fee","2017-03-31",NA,NA,"Quantity",399,"USD","1yr","Partial Upfront","standard","Compute Instance","AmazonEC2","AWS Region","r4.large","Yes","Memory optimized",2,"Intel Xeon E5-2686 v4 (Broadwell)","2.3 GHz","15.25 GiB","EBS only","Up to 10 Gigabit","64-bit","","","","","","","","Shared","","Linux","No License required","","","","","","","","APS3-BoxUsage:r4.large","RunInstances","","400 Mbps","135","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",4,NA,NA,"Intel AVX, Intel AVX2, Intel Turbo","Amazon Elastic Compute Cloud","ap-south-1","ec2.ap-south-1.amazonaws.com","HTTP and HTTPS"
"30","Asia Pacific (Mumbai)","FQ7FVC9B3R8RBBXA","HU7G6KETJZ","FQ7FVC9B3R8RBBXA.HU7G6KETJZ.6YS6EN2CT7","Reserved","Linux/UNIX (Amazon VPC), m4.10xlarge reserved instance applied","2017-04-30",0,Inf,"Hrs",0.73,"USD","1yr","Partial Upfront","standard","Compute Instance","AmazonEC2","AWS Region","m4.10xlarge","Yes","General purpose",40,"Intel Xeon E5-2676 v3 (Haswell)","2.4 GHz","160 GiB","EBS only","10 Gigabit","64-bit","","","","","","","","Shared","","Linux","No License required","","","","","","","","APS3-BoxUsage:m4.10xlarge","RunInstances","","4000 Mbps","124.5","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",80,NA,NA,"Intel AVX; Intel AVX2; Intel Turbo","Amazon Elastic Compute Cloud","ap-south-1","ec2.ap-south-1.amazonaws.com","HTTP and HTTPS"
"31","Asia Pacific (Mumbai)","7XS5G97YYZ4HK64S","HU7G6KETJZ","7XS5G97YYZ4HK64S.HU7G6KETJZ.2TG2D8R56U","Reserved","Upfront Fee","2016-11-30",NA,NA,"Quantity",679,"USD","1yr","Partial Upfront","standard","Compute Instance","AmazonEC2","AWS Region","c4.xlarge","Yes","Compute optimized",4,"Intel Xeon E5-2666 v3 (Haswell)","2.9 GHz","7.5 GiB","EBS only","High","64-bit","","","","","","","","Dedicated","","Linux","No License required","","","","","","","","APS3-DedicatedUsage:c4.xlarge","RunInstances","","750 Mbps","16","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",8,NA,NA,"Intel AVX; Intel AVX2; Intel Turbo","Amazon Elastic Compute Cloud","ap-south-1","ec2.ap-south-1.amazonaws.com","HTTP and HTTPS"
